Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation
Hon.,Kirsty,Duncan,Etobicoke North,Ontario,Liberal
,Scott,Duvall,Hamilton Mountain,Ontario,NDP
,Julie,Dzerowicz,Davenport,Ontario,Liberal
Hon.,Wayne,Easter,Malpeque,Prince Edward Island,Liberal
,Ali,Ehsassi,Willowdale,Ontario,Liberal
,Fayçal,El-Khoury,Laval—Les Îles,Quebec,Liberal
,Neil,Ellis,Bay of Quinte,Ontario,Liberal
,Dave,Epp,Chatham-Kent—Leamington,Ontario,Conservative
,Nathaniel,Erskine-Smith,Beaches—East York,Ontario,Liberal
,Rosemarie,Falk,Battlefords—Lloydminster,Saskatchewan,Conservative
,Ted,Falk,Provencher,Manitoba,Conservative
Hon.,Ed,Fast,Abbotsford,British Columbia,Conservative
,Greg,Fergus,Hull—Aylmer,Quebec,Liberal
,Andy,Fillmore,Halifax,Nova Scotia,Liberal
Hon.,Kerry-Lynne,Findlay,South Surrey—White Rock,British Columbia,Conservative
,Pat,Finnigan,Miramichi—Grand Lake,New Brunswick,Liberal
,Darren,Fisher,Dartmouth—Cole Harbour,Nova Scotia,Liberal
,Peter,Fonseca,Mississauga East—Cooksville,Ontario,Liberal
Hon.,Mona,Fortier,Ottawa—Vanier,Ontario,Liberal
,Rhéal,Fortin,Rivière-du-Nord,Quebec,Bloc Québécois
,Peter,Fragiskatos,London North Centre,Ontario,Liberal
,Sean,Fraser,Central Nova,Nova Scotia,Liberal
Hon.,Chrystia,Freeland,University—Rosedale,Ontario,Liberal
Hon.,Hedy,Fry,Vancouver Centre,British Columbia,Liberal
,Cheryl,Gallant,Renfrew—Nipissing—Pembroke,Ontario,Conservative
Hon.,Marc,Garneau,Notre-Dame-de-Grâce—Westmount,Quebec,Liberal
,Randall,Garrison,Esquimalt—Saanich—Sooke,British Columbia,NDP
,Marie-Hélène,Gaudreau,Laurentides—Labelle,Quebec,Bloc Québécois
,Leah,Gazan,Winnipeg Centre,Manitoba,NDP
,Bernard,Généreux,Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,Quebec,Conservative
,Garnett,Genuis,Sherwood Park—Fort Saskatchewan,Alberta,Conservative
,Mark,Gerretsen,Kingston and the Islands,Ontario,Liberal
,Marilène,Gill,Manicouagan,Quebec,Bloc Québécois
,Marilyn,Gladu,Sarnia—Lambton,Ontario,Conservative
,Joël,Godin,Portneuf—Jacques-Cartier,Quebec,Conservative
Hon.,Karina,Gould,Burlington,Ontario,Liberal
,Jacques,Gourde,Lévis—Lotbinière,Quebec,Conservative
,Tracy,Gray,Kelowna—Lake Country,British Columbia,Conservative
,Matthew,Green,Hamilton Centre,Ontario,NDP
Hon.,Steven,Guilbeault,Laurier—Sainte-Marie,Quebec,Liberal
Hon.,Patty,Hajdu,Thunder Bay—Superior North,Ontario,Liberal
,Jasraj Singh,Hallan,Calgary Forest Lawn,Alberta,Conservative
,Rachael,Harder,Lethbridge,Alberta,Conservative
,Ken,Hardie,Fleetwood—Port Kells,British Columbia,Liberal
,Jack,Harris,St. John's East,Newfoundland and Labrador,NDP
,Randy,Hoback,Prince Albert,Saskatchewan,Conservative
Hon.,Mark,Holland,Ajax,Ontario,Liberal
,Anthony,Housefather,Mount Royal,Quebec,Liberal
,Carol,Hughes,Algoma—Manitoulin—Kapuskasing,Ontario,NDP
Hon.,Ahmed,Hussen,York South—Weston,Ontario,Liberal
,Gudie,Hutchings,Long Range Mountains,Newfoundland and Labrador,Liberal
,Angelo,Iacono,Alfred-Pellan,Quebec,Liberal
